,Total PnL,CAGR,Sharpe,Max DD,Win Rate,Avg Trade PnL,Num Trades,Final Equity,Calmar
mean,1.081732750784468,0.020439883113833934,0.3345719062038831,0.03537204073951929,0.49230769230769234,0.00018383896199874195,65.0,101.08173275078447,0.5778542228975085
trend,0.3918533416554624,0.007381894495343877,0.15131846770695742,0.038316824108203695,0.6,8.883617176057518e-05,55.0,100.39185334165546,0.19265413215087943
semi,3.9323545603198795,0.07523016793262771,1.2034576008361921,0.03831284183166609,0.6,0.0007917161021844986,50.0,103.93235456031988,1.9635757708385115
ensemble,2.1952335990650766,0.041682179995236934,1.4047844370745157,0.017228003614585805,0.5700934579439252,0.00020508887943156934,107.0,102.19523359906508,2.4194434205915423
