date,mean_pnl,trend_pnl,semi_pnl,vol_mean,w_iv_mean,vol_trend,w_iv_trend,vol_semi,w_iv_semi,w_rw_mean,w_rw_trend,w_rw_semi,pnl_static,pnl_iv,pnl_rw,pnl_live,eq_mean,eq_trend,eq_semi,eq_static,eq_iv,eq_rw,eq_live
2025-01-01,0.006198670234125084,0.0,0.0,0.003854068494705638,0.2092278215954036,0.0017090388127979647,0.471829968615577,0.00252828642159429,0.31894220978901927,0.0,0.0,1.0,0.0027894016053562876,0.0012969342698742616,0.0,0.0015954277369706667,100.6198670234125,100.0,100.0,100.27894016053563,100.12969342698743,100.0,100.15954277369707
2025-01-02,0.0,0.0,0.0,0.00414432552832191,0.19746775536211,0.0017090388127979647,0.47884684633751057,0.00252828642159429,0.32368539830037946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.6198670234125,100.0,100.0,100.27894016053563,100.12969342698743,100.0,100.15954277369707
2025-01-03,0.0,0.0,0.0,0.00414432552832191,0.19746775536211,0.0017090388127979647,0.47884684633751057,0.00252828642159429,0.32368539830037946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.6198670234125,100.0,100.0,100.27894016053563,100.12969342698743,100.0,100.15954277369707
2025-01-06,0.0,0.0,0.0,0.00414432552832191,0.19746775536211,0.0017090388127979647,0.47884684633751057,0.00252828642159429,0.32368539830037946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.6198670234125,100.0,100.0,100.27894016053563,100.12969342698743,100.0,100.15954277369707
2025-01-07,0.0,0.0,0.0,0.00414432552832191,0.19746775536211,0.0017090388127979647,0.47884684633751057,0.00252828642159429,0.32368539830037946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.6198670234125,100.0,100.0,100.27894016053563,100.12969342698743,100.0,100.15954277369707
2025-01-08,1.0557298682871417e-05,0.0,0.0,0.00414432552832191,0.19746775536211,0.0017090388127979647,0.47884684633751057,0.00252828642159429,0.32368539830037946,0.0,0.0,1.0,4.750784407292138e-06,2.084726073593979e-06,0.0,2.6179377403336108e-06,100.6209292974021,100.0,100.0,100.27941656416091,100.12990216997007,100.0,100.15980498514416
2025-01-09,-0.004342094404580874,0.0,0.0,0.0035782572447156553,0.1761419696945646,0.0017090388127979647,0.36879171376380526,0.001385025581995441,0.4550663165416301,0.09085260579858735,0.0,0.9091473942014127,-0.0019539424820613936,-0.0007648250610226229,-0.00039449059127963804,-0.0010026485452303772,100.18402372331612,100.0,100.0,100.08347635205985,100.05332031143273,99.96055094087204,100.05937990238525
2025-01-10,-0.0045270946828912615,0.0,0.0,0.0037158783039803345,0.17073218596501682,0.0017090388127979647,0.37121334872920314,0.001385025581995441,0.45805446530578,0.0,0.0,1.0,-0.0020371926073010677,-0.0007729207712806297,0.0,-0.0010257751384847172,99.73048116220764,100.0,100.0,99.87958703392245,99.97598702192843,99.96055094087204,99.9567414781092
2025-01-13,-0.00524055389086413,0.00524055389086413,0.00524055389086413,0.0038121877165620687,0.1671398179788968,0.0017090388127979647,0.3728214359206095,0.001385025581995441,0.46003874610049367,0.0,0.0,1.0,0.0005240553890864131,0.0034887434440088695,0.00524055389086413,0.0028958058330243786,99.20783820111528,100.52405538908641,100.52405538908641,99.9319294697673,100.3247775912095,100.48439959503817,100.2461967931316
2025-01-14,0.0010096269761993718,0.0,0.0,0.003942720847172928,0.1992454035052877,0.0020840112839407053,0.37694960440723885,0.0018536043113566085,0.42380499208747335,0.0,0.0,1.0,0.0004543321392897173,0.0002011635342626673,0.0,0.0002517972552680773,99.30800111081356,100.52405538908641,100.52405538908641,99.97733175706665,100.34495927804387,100.48439959503817,100.27143851033517
2025-01-15,-0.001711253858920417,0.0,0.0,0.0030003173442444443,0.2464075028530973,0.0020840112839407053,0.35474837725226105,0.0018536043113566085,0.3988441198946416,0.0,0.0,1.0,-0.0007700642365141877,-0.0004216657901243064,0.0,-0.0004913454794022826,99.138059910691,100.52405538908641,100.52405538908641,99.90034278941843,100.3026472415049,100.48439959503817,100.22217059230995
2025-01-16,-0.00025731470660762725,0.0,0.0,0.002928347342223949,0.25094374059974844,0.0020840112839407053,0.3526129751807868,0.0018536043113566085,0.39644328421946473,0.0,0.4837389062333526,0.5162610937666474,-0.00011579161797343226,-6.45715149874448e-05,0.0,-7.481553558464229e-05,99.11255022989144,100.52405538908641,100.52405538908641,99.88877516709074,100.29617054761528,100.48439959503817,100.21467241693965
2025-01-17,-0.0002538873815820392,0.0002538873815820392,0.0,0.0029274265863812863,0.2510028577533311,0.0020840112839407053,0.3525851461957841,0.0018536043113566085,0.3964119960508847,0.0,0.4837389062333526,0.5162610937666474,-0.00011424932171191764,2.579046122776584e-05,0.00012281520427294545,-2.217495360170854e-06,99.08738680403165,100.54957717829515,100.52405538908641,99.87736294228127,100.29875723211308,100.49674060710068,100.21445019136854
2025-01-20,0.003866735122199571,0.0,0.0,0.002926451631577126,0.2510512152992242,0.002083675344748497,0.3525924636297071,0.0018536043113566085,0.3963563210710688,0.0,0.49638581762923084,0.5036141823707692,0.0017400308049898068,0.0009707485516683964,0.0,0.0011246050023326786,99.47053148275377,100.54957717829515,100.52405538908641,100.05115263052198,100.3961221054303,100.49674060710068,100.32715186335976
2025-01-21,0.0,0.0,0.0,0.0030745530106424143,0.2413091419613851,0.002083675344748497,0.3560615156574346,0.0018426777624381818,0.40262934238118037,0.0,0.49638581762923084,0.5036141823707692,0.0,0.0,0.0,0.0,99.47053148275377,100.54957717829515,100.52405538908641,100.05115263052198,100.3961221054303,100.49674060710068,100.32715186335976
2025-01-22,0.0029937980972173242,0.0,0.0,0.0030745530106424143,0.2413091419613851,0.002083675344748497,0.3560615156574346,0.0018426777624381818,0.40262934238118037,0.0,0.49638581762923084,0.5036141823707692,0.001347209143747796,0.0007224308500451399,0.0,0.000847386508785671,99.76832617063603,100.54957717829515,100.52405538908641,100.18594245818832,100.46865136126415,100.49674060710068,100.41216773831367
2025-01-23,0.00390221110875578,-0.00390221110875578,0.0,0.0031542660092584406,0.23665408914741018,0.002083675344748497,0.35824618038991113,0.0018426777624381818,0.4050997304626788,0.0,0.49638581762923084,0.5036141823707692,0.001755994998940101,-0.00047447800918333364,-0.0019370022517816053,-2.8383407558646705e-05,100.15764324132105,100.15721150124932,100.52405538908641,100.361868472109,100.42098119558092,100.30207819424801,100.40931769883292
2025-01-24,0.0,0.0,0.0,0.0032728647112679602,0.23729035243153515,0.0022758152643273274,0.34124834005240806,0.0018426777624381818,0.4214613075160568,0.0,0.014363770277334629,0.9856362297226654,0.0,0.0,0.0,0.0,100.15764324132105,100.15721150124932,100.52405538908641,100.361868472109,100.42098119558092,100.30207819424801,100.40931769883292
2025-01-27,-0.006043762323660059,0.006043762323660059,0.006043762323660059,0.0032728647112679602,0.23729035243153515,0.0022758152643273274,0.34124834005240806,0.0018426777624381818,0.4214613075160568,0.0,0.014363770277334709,0.9856362297226653,0.0006043762323660064,0.003175509340072601,0.006043762323660059,0.0026612827185312823,99.55231425067257,100.76253788256342,101.13159888766849,100.42252480004939,100.73986895930673,100.90828011542321,100.67653528080433
2025-01-28,0.0018197192184142511,0.0,0.0,0.0034176421388582806,0.25816928449790794,0.0024735344319688868,0.3567078868478095,0.002291032601745742,0.3851228286542825,0.0,0.4290745096766022,0.5709254903233977,0.0008188736482864131,0.0004697956086050995,0.0,0.0005396112165413623,99.73347151015213,100.76253788256342,101.13159888766849,100.50475815930253,100.78719610735527,100.90828011542321,100.73086146848438
2025-01-29,0.006576261173997177,0.0,0.0,0.003145276543177661,0.22857549097898194,0.0020048199733382556,0.3586016896382064,0.0017415008422331374,0.4128228193828116,0.0,0.4216116945073012,0.5783883054926989,0.00295931752829873,0.0015031721266524209,0.0,0.0017944012069816828,100.3893448665923,100.76253788256342,101.13159888766849,100.80218365180077,100.9386966112673,100.90828011542321,100.91161304788375
2025-01-31,0.0,0.0,0.010698280220392315,0.003186123795244465,0.22630825638315133,0.0020048199733382556,0.35965562835465037,0.0017415008422331374,0.41403611526219825,0.0,0.4216116945073012,0.5783883054926989,0.005884054121215773,0.0044294743824376485,0.006187760168358768,0.004720390330193273,100.3893448665923,100.76253788256342,102.21353307170509,101.3953091559447,101.38580198210356,101.53267635177903,101.38795525031918
2025-02-03,0.0,-0.0026318553079678546,0.0,0.003186123795244465,0.26973577484517236,0.0020048199733382556,0.42867189709341735,0.0028495792901017747,0.3015923280614102,0.0,0.3179342738470336,0.6820657261529665,0.0,-0.0011282024077419604,-0.0008367570062092208,-0.0009025619261935684,100.3893448665923,100.49734546239289,102.21353307170509,101.3953091559447,101.2714182761965,101.4477181734825,101.29644634213564
2025-02-04,0.0,0.0,0.009221592832191372,0.003186123795244465,0.2758736517786308,0.002114570646532272,0.4156712427075476,0.0028495792901017747,0.30845510551382155,0.0,0.2740158533452378,0.7259841466547621,0.005071876057705255,0.00284444739005909,0.006694730203076124,0.003289933123588323,100.3893448665923,100.49734546239289,103.15610465563209,101.90957359681636,101.5594794975998,102.12688327637167,101.62970487625842
2025-02-05,0.003420128212688201,0.0,0.0,0.003186123795244465,0.28949030091935846,0.002114570646532272,0.43618806058177034,0.003362301614212868,0.27432163849887103,0.0,0.22357450406704701,0.776425495932953,0.0015390576957096905,0.000990093945473895,0.0,0.0010998866955210542,100.73268929722381,100.49734546239289,103.15610465563209,102.06641831032704,101.66003292335586,102.12688327637167,101.74148603652154
2025-02-06,0.004246136711680418,0.0,0.0,0.0032826509274256717,0.2833901558229424,0.002114570646532272,0.43993299251206797,0.003362301614212868,0.27667685166498973,0.0,0.16090712694660672,0.8390928730533933,0.0019107615202561881,0.0012033133443686299,0.0,0.0013448029795461417,101.16041406731505,100.49734546239289,103.15610465563209,102.26144289494479,101.7823617975615,102.12688327637167,101.8783082900869
2025-02-07,0.0032301708100795474,0.0,0.0,0.003413245564974243,0.2755349286546932,0.002114570646532272,0.4447553845334314,0.003362301614212868,0.2797096868118754,0.07333800077697428,0.14910651994557578,0.77755547927745,0.0014535768645357963,0.0008900248836977406,0.00023689426937937346,0.0010027352798653519,101.48717948397083,100.49734546239289,103.15610465563209,102.41008776247094,101.87295063228288,102.15107654976943,101.98046526406237
2025-02-10,0.0,0.0,0.0,0.003292211554325035,0.2827999242964204,0.002114570646532272,0.44029534076034793,0.003362301614212868,0.27690473494323165,0.35291068510690543,0.0,0.6470893148930945,0.0,0.0,0.0,0.0,101.48717948397083,100.49734546239289,103.15610465563209,102.41008776247094,101.87295063228288,102.15107654976943,101.98046526406237
2025-02-11,0.0,0.0,0.0,0.0030652203899368953,0.29751167077675034,0.002114570646532272,0.4312636721239745,0.003362301614212868,0.27122465709927523,0.18892573544838429,0.0,0.8110742645516158,0.0,0.0,0.0,0.0,101.48717948397083,100.49734546239289,103.15610465563209,102.41008776247094,101.87295063228288,102.15107654976943,101.98046526406237
2025-02-12,0.0,0.0,0.0,0.0027191136024535953,0.29588418459220645,0.0017583281695334424,0.4575602599418536,0.0032631315195531785,0.24655555546593985,0.18892573544838429,0.0,0.8110742645516158,0.0,0.0,0.0,0.0,101.48717948397083,100.49734546239289,103.15610465563209,102.41008776247094,101.87295063228288,102.15107654976943,101.98046526406237
2025-02-13,0.0,0.0,0.0,0.00273100606061891,0.29497579288851555,0.0017583281695334424,0.4581505661599139,0.0032631315195531785,0.24687364095157044,0.18892573544838429,0.0,0.8110742645516158,0.0,0.0,0.0,0.0,101.48717948397083,100.49734546239289,103.15610465563209,102.41008776247094,101.87295063228288,102.15107654976943,101.98046526406237
2025-02-14,0.0,0.0,0.0,0.0026646421460339944,0.30011744888190617,0.0017583281695334424,0.4548093296738327,0.0032631315195531785,0.24507322144426114,0.19449795474942097,0.0,0.8055020452505789,0.0,0.0,0.0,0.0,101.48717948397083,100.49734546239289,103.15610465563209,102.41008776247094,101.87295063228288,102.15107654976943,101.98046526406237
2025-02-17,0.008546971075331313,-0.008546971075331313,0.0,0.0026579753033963817,0.30064389901883837,0.0017583281695334424,0.4544672230825163,0.0032631315195531785,0.24488887789864533,0.04441185728033021,0.08271964878060128,0.8728684939390685,0.0038461369838990907,-0.0013147235014835702,-0.00032741558591263954,-0.00028255140440703805,102.3545874715373,99.63839755757823,103.15610465563209,102.80397098853852,101.73901586992113,102.11763069518926,101.95165054037993
2025-02-18,-0.0018372029238518887,0.0,0.0,0.0030986981383289178,0.3179542721231613,0.002591972164845609,0.3801135301033884,0.0032631315195531785,0.30193219777345026,0.22781887607815868,0.0,0.7721811239218412,-0.0008267413157333499,-0.000584146518395871,-0.00041854950523944424,-0.0006326654778633667,102.16654132416494,99.63839755757823,103.15610465563209,102.71897869830084,101.67958537801569,102.07488941138556,101.88714925067185
